R2,f1,mape,medianape,medianse,mse,precision,predicttime,recall
-1.3891038730365697,0.0,0.714787789102944,0.5819767068785751,0.3386968873783018,2.9974582044403126,0.0,1,0.0
-2.9426822693024803,0.031746031746031744,0.9501920648970706,0.5819767068618673,0.33869688739506715,8.753827436091989,0.024390243902439025,2,0.045454545454545456
-8.39155581271216,0.022988505747126436,1.3132164824048236,0.581976706844231,0.3386968874369396,29.31588966674594,0.015384615384615385,3,0.045454545454545456
-12.276931534099472,0.013559322033898305,1.5379486809942853,0.581976706844231,0.33869688752933275,42.6440352637872,0.008547008547008548,4,0.03278688524590164
-22.125878866820557,0.023529411764705882,1.810182353620642,0.5819767068591735,0.3386968876345977,79.9865803585591,0.014492753623188406,5,0.0625
-32.48851373920823,0.018281535648994516,2.1734731049084486,0.5819767068378927,0.33869688764797506,115.37219218252787,0.010964912280701754,6,0.054945054945054944
-47.35167681673947,0.02342606149341142,2.5530401445358355,0.581976706844231,0.3386968878441551,233.86320791945684,0.01384083044982699,7,0.0761904761904762
-77.51039515620896,0.02660217654171705,2.9224750249575298,0.5819767068649288,0.33869688801956765,366.5778783780971,0.015536723163841809,8,0.09243697478991597
-39.18698965682789,0.02296450939457203,3.371119389011265,0.5819767068834567,0.33869688817478394,585.3005201113504,0.013285024154589372,9,0.08461538461538462
-50.35712553479252,0.027573529411764705,3.7355249225090508,0.5819767068965318,0.33869688822141625,702.7180897405492,0.015772870662460567,10,0.10948905109489052
-60.86530873369714,0.031275720164609055,4.119050121367774,0.5819767069179991,0.33869688839032186,795.8591496924736,0.017707362534948742,11,0.13380281690140844
-78.77109198491071,0.03725782414307004,4.4618848787098955,0.5819767069195858,0.33869688840784806,975.3426025223146,0.02092050209205021,12,0.17006802721088435
-119.01942420151124,0.03431708991077557,4.9145532185281215,0.5819767069285313,0.3386968885293659,1404.7906735604108,0.01918649270913277,13,0.16233766233766234
-144.53890996297713,0.03065134099616858,5.294659651195154,0.5819767069195858,0.33869688880014226,1644.797519947118,0.017094017094017096,14,0.14814814814814814
-155.6111349049178,0.03062426383981154,5.666086483045191,0.5819767069408279,0.3386968893119414,1905.8058192401077,0.01699346405228758,15,0.15476190476190477
-179.2912653560309,0.031145717463848716,6.040292524705924,0.5819767069408279,0.3386968893119414,2136.596909590782,0.01727328809376928,16,0.15819209039548024
-222.7567931141921,0.0316622691292876,6.375260831609872,0.5819767069598931,0.3386968896105251,2572.8452671045407,0.01749271137026239,17,0.16666666666666666
-243.63378839049747,0.03401700850425213,6.669831372681598,0.5819767069760693,0.3386968898860251,2732.980619133016,0.018753447324875896,18,0.1827956989247312
-269.67659556493584,0.0354916067146283,6.975707603742962,0.5819767069784221,0.33869689011346565,2943.440320029102,0.019535374868004225,19,0.193717277486911
-315.8285054802573,0.03759743237047226,7.347487587924605,0.5819767069914492,0.33869689033685924,3362.9401501495363,0.02065491183879093,20,0.20918367346938777
-373.1919733096219,0.0362671384343211,7.691499794495132,0.5819767069982471,0.3386968904461681,3891.9880962693733,0.019902912621359223,21,0.20398009950248755
-414.5977584489826,0.03722504230118444,8.066477037043912,0.581976706991133,0.3386968904414632,4253.399208423826,0.020398701900788133,22,0.21256038647342995
-462.6330877914491,0.03587443946188341,8.440336670096967,0.5819767069971515,0.33869689054579727,4667.193506797744,0.019625334522747548,23,0.20853080568720378
-545.8882521512928,0.035545023696682464,8.834003579012137,0.5819767070182351,0.3386968907911277,5400.590530504751,0.019413287316652286,24,0.2102803738317757
